,code,trade_year,trade_month,buildfinyear,houseage,buildstyle,area,pricettl,priceper,rooms,manage_y1n0
3,220,106,12,50,56,1,110.01,9000000,81811.0,3,0
4,220,106,12,97,9,3,140.53,21780000,154985.0,2,1
5,220,106,11,65,41,1,84.58,9500000,112320.0,4,0
6,220,106,11,89,17,3,84.39,16500000,195521.0,2,1
7,220,107,1,50,57,1,80.33,5300000,65978.0,3,0
9,220,107,1,62,45,1,114.67,12000000,104648.0,4,0
11,236,106,12,84,22,3,101.76,11300000,111046.0,3,1
12,236,107,1,83,24,5,69.01,6150000,89118.0,1,0
13,220,107,1,62,45,1,68.15,8000000,117388.0,2,0
14,220,107,1,50,57,1,74.69,6200000,83010.0,3,0
17,220,107,1,89,18,3,53.81,8460000,157220.0,3,1
49,243,107,1,95,12,3,129.2,13000000,100619.0,4,1
55,242,107,1,59,48,6,282.27,33000000,116909.0,2,0
58,242,107,1,66,41,1,72.67,6700000,92198.0,3,0
60,242,106,12,95,11,2,191.15,16300000,85273.0,3,1
62,242,107,1,84,23,3,150.93,11880000,78712.0,3,1
66,231,107,1,76,31,6,230.97,16500000,71438.0,6,1
67,231,106,12,75,31,6,264.5,13500000,51040.0,4,1
68,231,107,1,84,23,3,107.91000000000001,7200000,66722.0,2,1
69,221,107,1,99,8,3,159.29,8800000,55245.0,3,1
70,221,106,12,101,5,3,130.04,13500000,103814.0,2,1
72,221,107,2,88,19,5,41.99,2800000,66683.0,1,1
73,221,107,1,69,38,1,101.2,8700000,85968.0,7,0
75,221,106,12,71,35,1,74.11,5600000,75563.0,2,0
77,251,107,1,100,7,3,134.69,7550000,56055.0,3,1
78,252,107,1,85,22,3,33.629999999999995,1050000,31222.0,1,1
80,251,107,1,105,2,2,161.08,8526000,52930.0,3,1
81,251,105,10,106,-1,3,144.87,9200000,68730.0,3,1
82,251,107,1,106,1,3,149.22,10300000,74507.0,3,1
83,251,103,7,106,-3,3,157.91000000000003,10700000,74135.0,3,1
84,251,104,8,106,-2,3,157.54000000000002,9300000,62549.0,2,1
85,251,106,12,69,37,1,82.45,4980000,60400.0,3,0
86,251,102,12,106,-4,3,231.56,30840000,147880.0,4,1
87,251,102,12,106,-4,3,192.48000000000002,19780000,114522.0,3,1
88,251,102,12,106,-4,3,192.48000000000002,20500000,119070.0,3,1
89,251,102,12,106,-4,3,192.48000000000002,20730000,120523.0,3,1
90,251,103,7,106,-3,3,192.53,19150000,109245.0,3,1
91,251,106,12,105,1,3,154.81,8100000,52322.0,3,1
93,251,107,1,102,5,3,176.15,13260000,75277.0,3,1
94,251,107,1,106,1,3,265.39,26880000,118143.0,4,1
95,251,107,1,103,4,3,152.95999999999998,19000000,124215.0,2,1
96,251,107,1,104,3,3,191.55,9700000,58456.0,3,1
97,251,107,1,106,1,2,147.38,17000000,115348.0,3,1
99,247,107,1,69,38,1,74.0,6950000,93919.0,2,0
100,247,107,2,81,26,2,77.71000000000001,2500000,32171.0,2,1
101,247,106,12,70,36,1,91.0,7350000,80769.0,3,0
102,241,107,1,104,3,3,104.7,10700000,117763.0,2,1
103,247,106,12,83,23,3,179.35999999999999,16000000,89206.0,4,1
105,241,107,1,69,38,1,76.2,6315000,82874.0,4,0
107,241,107,1,64,43,1,74.48,7300000,98013.0,3,0
111,241,107,1,78,29,1,85.94,7700000,89597.0,2,0
114,234,106,12,84,22,3,109.36999999999999,16000000,146292.0,3,1
121,235,107,1,84,23,2,90.64999999999999,8080000,89134.0,3,1
122,235,106,12,67,39,1,85.46,6200000,72549.0,3,0
123,235,107,1,87,20,3,117.61,12700000,107984.0,3,1
124,235,107,1,84,23,5,36.5,4700000,128767.0,1,1
125,234,107,1,66,41,1,46.44,6500000,139966.0,0,0
126,234,106,12,60,46,1,91.42,9900000,108291.0,3,0
127,235,106,12,75,31,2,117.66,13000000,110488.0,3,1
128,235,107,1,80,27,1,162.26,14300000,88130.0,4,0
130,235,107,2,88,19,2,159.13,16500000,103689.0,4,1
131,235,107,1,66,41,1,99.64,19100000,191690.0,3,0
134,234,107,1,59,48,6,74.0,18300000,247297.0,4,0
135,238,107,1,68,39,1,93.5,6100000,65241.0,3,0
136,237,106,12,83,23,2,52.73,2200000,41730.0,3,1
137,237,107,1,83,24,2,52.73,2200000,41730.0,3,1
138,238,106,12,98,8,3,117.8,8300000,70458.0,2,1
